project name,version,¦Á,coupling,,,cohesion,,,#all problematic modules,#all problematic classes,#all problematic methods
,,,#problematic modules,#problematic classes,#problematic methods,#problematic modules,#problematic classes,#problematic methods,,,
apollo,v0.4.0->v0.5.0,0.4,21,44,123,0,0,0,27,53,123
argouml,VERSION_0_18_1->VERSION_0_20,0.4,14,62,262,5,5,7,50,138,268
AxonFramework,axon-3.2->axon-3.3,0.4,19,55,130,0,0,0,44,76,130
bus,5.0.0->5.1.0,0.4,8,15,19,0,0,0,20,20,19
junit4,r4.11->r4.12-beta-1,0.4,3,9,36,0,0,0,26,19,36
Jupiter,1.1.0.Final->1.1.1.Final,0.4,0,0,0,0,0,0,3,1,1
Sentinel,0.1.0->0.1.1,0.4,10,13,17,0,0,0,12,16,17
servicecomb-java-chassis,1.1.0->1.2.0,0.4,57,148,346,1,1,3,95,185,349
sitewhere,sitewhere-2.0.0->sitewhere-2.0.1,0.4,0,0,0,0,0,0,2,3,1
train-ticket,0.0.1->0.0.2,0.4,1,1,1,0,0,0,5,3,2
lineage/base,lineage-16.0->lineage-17.1,0.4,133,1087,8747,30,76,186,151,1157,8932
